task,mode,offset_bytes,offset_fraction,outcome,passed,detail
t1-0,honest/positive-control,,,VERIFY_ACCEPTED,true,"honest artifact verifies"
t1-0,proof_byte/offset,0,0.0000,VERIFY_ACCEPTED,false,"byte[0] 0x01 -> 0x00 (low bit flipped); [0m Proof verified successfully [2m[1mproof_path[0m: /repo/data/negative-deepprove/t1-0/corrupt-0.postcard[0m"
t1-0,proof_byte/offset,1,0.0000,DESERIALIZE_REJECTED,true,"byte[1] 0x80 -> 0x81 (low bit flipped); Error: failed to deserialize proof as either ONNX or LLM format"
t1-0,proof_byte/offset,7,0.0001,VERIFY_ACCEPTED,false,"byte[7] 0xfe -> 0xff (low bit flipped); [0m Proof verified successfully [2m[1mproof_path[0m: /repo/data/negative-deepprove/t1-0/corrupt-7.postcard[0m"
t1-0,proof_byte/offset,595,0.0100,VERIFY_REJECTED,true,"byte[595] 0x92 -> 0x93 (low bit flipped); 324551 573647435684999454575435380148749192000388976746073826867487863699577447348 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace"
t1-0,proof_byte/offset,5951,0.1000,VERIFY_REJECTED,true,"byte[5951] 0x1e -> 0x1f (low bit flipped); 7108 11993033023233239839926477755908776516907445435018927620095614132075365324452 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace"
t1-0,proof_byte/offset,14878,0.2500,VERIFY_REJECTED,true,"byte[14878] 0xa2 -> 0xa3 (low bit flipped); 6488 17798874352817477449176485684990818619897013467294677052859519442743981998836 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace"
t1-0,proof_byte/offset,29756,0.5000,VERIFY_REJECTED,true,"byte[29756] 0x84 -> 0x85 (low bit flipped); 945829432929047713307 does not equal this rounds sumcheck output claim: 3987684708617004938224774454325579254949252182883726493380960664577504584625 at round: 2"
t1-0,proof_byte/offset,44634,0.7500,DESERIALIZE_REJECTED,true,"byte[44634] 0x58 -> 0x59 (low bit flipped); Error: failed to deserialize proof as either ONNX or LLM format"
t1-0,proof_byte/offset,59503,0.9998,VERIFY_REJECTED,true,"byte[59503] 0x03 -> 0x02 (low bit flipped);  Error: Verification failed for node with ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,proof_byte/offset,59510,1.0000,VERIFY_REJECTED,true,"byte[59510] 0x01 -> 0x00 (low bit flipped);  Error: Verification failed for node with ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-0,proof_byte/offset,59511,1.0000,VERIFY_ACCEPTED,false,"byte[59511] 0x03 -> 0x02 (low bit flipped);  Proof verified successfully [2m[1mproof_path[0m: /repo/data/negative-deepprove/t1-0/corrupt-59511.postcard[0m"
t1-a,honest/positive-control,,,VERIFY_ACCEPTED,true,"honest artifact verifies"
t1-a,proof_byte/offset,0,0.0000,VERIFY_ACCEPTED,false,"byte[0] 0x01 -> 0x00 (low bit flipped); [0m Proof verified successfully [2m[1mproof_path[0m: /repo/data/negative-deepprove/t1-a/corrupt-0.postcard[0m"
t1-a,proof_byte/offset,1,0.0000,DESERIALIZE_REJECTED,true,"byte[1] 0x80 -> 0x81 (low bit flipped); Error: failed to deserialize proof as either ONNX or LLM format"
t1-a,proof_byte/offset,7,0.0001,VERIFY_ACCEPTED,false,"byte[7] 0xff -> 0xfe (low bit flipped); [0m Proof verified successfully [2m[1mproof_path[0m: /repo/data/negative-deepprove/t1-a/corrupt-7.postcard[0m"
t1-a,proof_byte/offset,1164,0.0100,VERIFY_ACCEPTED,false,"byte[1164] 0xfe -> 0xff (low bit flipped); m Proof verified successfully [2m[1mproof_path[0m: /repo/data/negative-deepprove/t1-a/corrupt-1164.postcard[0m"
t1-a,proof_byte/offset,11640,0.1000,VERIFY_REJECTED,true,"byte[11640] 0xca -> 0xcb (low bit flipped); 08533398706079835393 does not equal this rounds sumcheck output claim: 20344989301995343618706888326305709355352443741574029780456553470929235100818 at round: 4"
t1-a,proof_byte/offset,29101,0.2500,VERIFY_REJECTED,true,"byte[29101] 0x0f -> 0x0e (low bit flipped); 76804 6802613485599815390979938295137500208604639365947674205551594274143740162537 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace"
t1-a,proof_byte/offset,58202,0.5000,DESERIALIZE_REJECTED,true,"byte[58202] 0x50 -> 0x51 (low bit flipped); Error: failed to deserialize proof as either ONNX or LLM format"
t1-a,proof_byte/offset,87303,0.7500,VERIFY_REJECTED,true,"byte[87303] 0x00 -> 0x01 (low bit flipped); 2870 12427919606810908990941060686973343130440633555207838012020460386628032627813 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace"
t1-a,proof_byte/offset,116395,0.9999,VERIFY_REJECTED,true,"byte[116395] 0x03 -> 0x02 (low bit flipped);  Error: Verification failed for node with ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,proof_byte/offset,116402,1.0000,VERIFY_REJECTED,true,"byte[116402] 0x01 -> 0x00 (low bit flipped);  Error: Verification failed for node with ID N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ValueTable"
t1-a,proof_byte/offset,116403,1.0000,VERIFY_ACCEPTED,false,"byte[116403] 0x03 -> 0x02 (low bit flipped); Proof verified successfully [2m[1mproof_path[0m: /repo/data/negative-deepprove/t1-a/corrupt-116403.postcard[0m"
