task,log_inv_rate,mode,index,outcome,passed,detail
T1-0,1,private_word/first,0,VERIFY_REJECTED,true,"private[0] 0xffffffffffffff83 -> 0xffffffffffffff82 (low bit flipped)"
T1-0,1,private_word/middle,135040,VERIFY_REJECTED,true,"private[135040] 0x0000000000000061 -> 0x0000000000000060 (low bit flipped)"
T1-0,1,private_word/last,270079,VERIFY_REJECTED,true,"private[270079] 0xfffffffffffff130 -> 0xfffffffffffff131 (low bit flipped)"
T1-0,1,inout_word/first,0,VERIFY_REJECTED,true,"inout[0] 0xfffffffffffe958a -> 0xfffffffffffe958b (low bit flipped)"
T1-0,1,inout_word/last,255,VERIFY_REJECTED,true,"inout[255] 0x0000000000004aee -> 0x0000000000004aef (low bit flipped)"
T1-0,1,proof_byte/head,0,VERIFY_REJECTED,true,"proof byte 0 of 345536 XOR 0x01"
T1-0,1,proof_byte/middle,172768,VERIFY_REJECTED,true,"proof byte 172768 of 345536 XOR 0x01"
T1-0,1,proof_byte/tail,345535,VERIFY_REJECTED,true,"proof byte 345535 of 345536 XOR 0x01"
T1-a,1,private_word/first,0,VERIFY_REJECTED,true,"private[0] 0xffffffffffffff8b -> 0xffffffffffffff8a (low bit flipped)"
T1-a,1,private_word/middle,1216128,VERIFY_REJECTED,true,"private[1216128] 0x0000000000001666 -> 0x0000000000001667 (low bit flipped)"
T1-a,1,private_word/last,2432255,VERIFY_REJECTED,true,"private[2432255] 0xffffffffffffc201 -> 0xffffffffffffc200 (low bit flipped)"
T1-a,1,inout_word/first,0,VERIFY_REJECTED,true,"inout[0] 0x000000000001fa9a -> 0x000000000001fa9b (low bit flipped)"
T1-a,1,inout_word/last,767,VERIFY_REJECTED,true,"inout[767] 0xfffffffffffebd9e -> 0xfffffffffffebd9f (low bit flipped)"
T1-a,1,proof_byte/head,0,VERIFY_REJECTED,true,"proof byte 0 of 460304 XOR 0x01"
T1-a,1,proof_byte/middle,230152,VERIFY_REJECTED,true,"proof byte 230152 of 460304 XOR 0x01"
T1-a,1,proof_byte/tail,460303,VERIFY_REJECTED,true,"proof byte 460303 of 460304 XOR 0x01"
T1-b,1,private_word/first,0,VERIFY_REJECTED,true,"private[0] 0x0000000000000003 -> 0x0000000000000002 (low bit flipped)"
T1-b,1,private_word/middle,3979776,VERIFY_REJECTED,true,"private[3979776] 0x0000000000000000 -> 0x0000000000000001 (low bit flipped)"
T1-b,1,private_word/last,7959551,VERIFY_REJECTED,true,"private[7959551] 0xffffffffffffffe0 -> 0xffffffffffffffe1 (low bit flipped)"
T1-b,1,inout_word/first,0,VERIFY_REJECTED,true,"inout[0] 0xfffffffffffeb2a4 -> 0xfffffffffffeb2a5 (low bit flipped)"
T1-b,1,inout_word/last,3071,VERIFY_REJECTED,true,"inout[3071] 0xfffffffffffb361b -> 0xfffffffffffb361a (low bit flipped)"
T1-b,1,proof_byte/head,0,VERIFY_REJECTED,true,"proof byte 0 of 505952 XOR 0x01"
T1-b,1,proof_byte/middle,252976,VERIFY_REJECTED,true,"proof byte 252976 of 505952 XOR 0x01"
